Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
20220524_MEF	20220524_MEF.sc001	Mouse	epithelium	11	18		308113	109108	1663.0	1916.118057337684	1011.678074134138	0.002143	0.4148077925822821	0.4181176644664134	0.05519235596670579	0.4224705686633329	0.2108906644162437	0.07230282186383383
20220524_MEF	20220524_MEF.sc002	Mouse	epithelium	11	20		460403	199972	1514.0	1705.643835136919	815.8511473195286	0.007178	0.4136064607318893	0.4166930369995457	0.0550957379517272	0.2164451553590503	0.2901969841605708	0.1185971563289178
20220524_MEF	20220524_MEF.sc004	Mouse	epithelium	11	22		459365	200193	1566.0	1757.89303821812	835.3884714618251	0.001652	0.4142062473256312	0.4173631308295969	0.05436363167602869	0.2206305868272432	0.2954156990715418	0.1216370666184985
20220524_MEF	20220524_MEF.sc005	Mouse	epithelium	11	24		385647	177375	1663.0	1847.078748414377	827.271280428836	0.02251	0.4129989764585466	0.4163844267991649	0.05416757827941123	0.1964023120277059	0.2758081945648224	0.1136798566629568
20220524_MEF	20220524_MEF.sc007	Mouse	epithelium	12	18		334240	155109	1785.0	1989.532638338201	921.6434741875098	0.002416	0.4143692564745196	0.4175408347416263	0.05343331829935401	0.2323909326264756	0.2540186634227411	0.1076228654841127
20220524_MEF	20220524_MEF.sc010	Mouse	epithelium	12	21		498498	204298	1612.0	1799.953068556716	839.5405718489981	0.00247	0.4135171391098456	0.4167086333134115	0.05435950548225656	0.1844320177610081	0.328547899783223	0.1265614043648839
20220524_MEF	20220524_MEF.sc011	Mouse	epithelium	12	22		400330	191520	1647.0	1840.21980994152	861.0404932567245	0.003158	0.4136701245956682	0.4168630942893349	0.05416202165084145	0.1989370455202473	0.2713767238493965	0.1230014581779502
20220524_MEF	20220524_MEF.sc012	Mouse	epithelium	12	23		334476	170620	1774.0	1974.263650216856	909.0364914871273	0.049073	0.4133645438212262	0.4167349180524549	0.05353423727339428	0.2081094925164289	0.2516112294001253	0.1177671131492976
20220524_MEF	20220524_MEF.sc013	Mouse	epithelium	12	24		354931	159701	1837.0	2061.149479339516	1003.362473652455	0.002614	0.4144449830344159	0.4175926320159203	0.05335794653737151	0.2225347032024476	0.263151847570236	0.1145916655022378
20220524_MEF	20220524_MEF.sc014	Mouse	epithelium	13	17		307359	141358	1583.0	1786.812072892938	858.0444768623278	0.027622	0.4137616755474892	0.4169222695427045	0.05469605469971056	0.4005408262538207	0.1992918928529442	0.0868971438729407
20220524_MEF	20220524_MEF.sc015	Mouse	epithelium	13	18		288080	132120	1885.0	2136.316068725401	1082.134872854526	0.042135	0.4149838774342333	0.4180822293200628	0.05333349842468912	0.2424912474663719	0.2214505461990366	0.09979408740117446
20220524_MEF	20220524_MEF.sc016	Mouse	epithelium	13	19		365608	175650	1723.0	1950.182243097068	962.0226174871781	0.03813	0.4156115953606645	0.4186004883866198	0.05416430434515881	0.2317026077932108	0.2604491049022468	0.1195122513382142
20220524_MEF	20220524_MEF.sc017	Mouse	epithelium	13	20		377176	215316	1624.0	1846.103141429341	916.5700139127588	0.028837	0.4132231404958678	0.4164397196807613	0.05399067701536273	0.1781161805627635	0.2563576023415394	0.1401836737914358
20220524_MEF	20220524_MEF.sc018	Mouse	epithelium	13	21		425169	138706	1828.0	2052.485631479532	1020.998596978874	0.034307	0.4141718457741584	0.4174039188797071	0.05394638203002212	0.2435598621416945	0.3151864916730878	0.09790364795459512
20220524_MEF	20220524_MEF.sc019	Mouse	epithelium	13	22		400427	193188	1584.0	1766.357527382653	807.8008404527815	0.030238	0.4148578942425096	0.4180891840671608	0.05516512496217633	0.2112862047715468	0.2643476329860919	0.1190548841201701
20220524_MEF	20220524_MEF.sc021	Mouse	epithelium	13	24		388392	160444	1776.0	1991.045162174965	957.0498776084654	0.002715	0.4137509143417197	0.4171041799504623	0.05359110172131157	0.2209862835182809	0.2814007171012559	0.110895103486608
20220524_MEF	20220524_MEF.sc022	Mouse	epithelium	14	17		349733	169727	1686.0	1891.731574823099	893.119285530485	0.007608	0.4141682785299807	0.4169411077573834	0.05387437339630703	0.2111085815546108	0.2509768430696794	0.1146709875475218
20220524_MEF	20220524_MEF.sc023	Mouse	epithelium	14	18		311494	168182	1608.0	1794.701192755467	820.4608428988895	0.003695	0.413677130044843	0.4168117638188171	0.05429522187696236	0.2111282863558583	0.2069990408220737	0.1065865455998158
20220524_MEF	20220524_MEF.sc024	Mouse	epithelium	14	19		374161	171093	1618.0	1818.713962581754	867.8422746810718	0.003699	0.4139886578449906	0.41702428281874	0.0545106366310341	0.2410067005228155	0.2515220305725045	0.1083988478576668
20220524_MEF	20220524_MEF.sc025	Mouse	epithelium	14	20		398750	191974	1684.0	1887.758748580537	895.4768304636964	0.003968999999999999	0.4133680614434323	0.4165876831468981	0.05398689526110252	0.191647282841012	0.2755398574451002	0.1263586485276486
20220524_MEF	20220524_MEF.sc026	Mouse	epithelium	14	21		467680	204326	1640.0	1832.769916701741	855.5020782987117	0.004959000000000001	0.4134275618374558	0.4166551900317208	0.05416919372597287	0.1830744733613512	0.3166045619446993	0.1293880161114001
20220524_MEF	20220524_MEF.sc027	Mouse	epithelium	14	22		370493	169143	1592.0	1775.607267223592	804.035710531758	0.002156	0.4139759036144579	0.417004031310378	0.0543648149756733	0.2540089639868998	0.2490158149207901	0.1051520087456479
