Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429212,Strand-seq,Human,HG001,PAIRED,ERR1429212,2907168,1312068,0.015182,0.4455230802801443,0.4356435643564356,0.1755943524388666,0.0948381943152237,0.0353053719183387
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429213,Strand-seq,Human,HG001,PAIRED,ERR1429213,2872960,1396594,0.017731,0.4489243848561718,0.4356435643564356,0.161744424483278,0.0941208113906521,0.0368213881592512
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429214,Strand-seq,Human,HG001,PAIRED,ERR1429214,4024184,1788058,0.014224,0.4498759935990895,0.44,0.1576232990535763,0.1320319074947606,0.0476945399683165
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429215,Strand-seq,Human,HG001,PAIRED,ERR1429215,3632910,1660078,0.016353,0.4538950985305848,0.4455445544554455,0.1676263961870308,0.119067151227755,0.0445524637186609
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429216,Strand-seq,Human,HG001,PAIRED,ERR1429216,3259208,1436164,0.018895,0.4465684061508031,0.4356435643564356,0.1653915020437973,0.1066980172541279,0.0392713089492409
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429217,Strand-seq,Human,HG001,PAIRED,ERR1429217,3118794,1604648,0.01438,0.4505496540895639,0.4455445544554455,0.1571352611989407,0.1021228941109409,0.0423207862913959
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429218,Strand-seq,Human,HG001,PAIRED,ERR1429218,3777320,1540634,0.014069,0.4537830941974972,0.4455445544554455,0.1664006903967726,0.1239363416935262,0.0414133046848522
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429219,Strand-seq,Human,HG001,PAIRED,ERR1429219,2017778,1085288,0.016151,0.4496904262775061,0.4387755102040816,0.1676169914558611,0.065863419393348,0.0287979972763297
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429220,Strand-seq,Human,HG001,PAIRED,ERR1429220,3769048,1726072,0.037856,0.4518192075227854,0.4455445544554455,0.1643926126218548,0.1238694116420019,0.0459268511649852
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429221,Strand-seq,Human,HG001,PAIRED,ERR1429221,3589438,1790872,0.014916,0.452591772028096,0.4455445544554455,0.1653364332733192,0.1174198988824048,0.0472135304838283
