Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009785,OP-Strand-seq,Human,HG001,PAIRED,SRR15009785,21448414,9406372,0.007598,0.4305573914571297,0.4210526315789473,0.0864315423663562,0.5291983316730919,0.1968314683208713
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009786,OP-Strand-seq,Human,HG001,PAIRED,SRR15009786,7694826,5384766,0.003807,0.4387430222761323,0.4342105263157895,0.096461322456141,0.1897690400596595,0.1138219080914977
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009788,OP-Strand-seq,Human,HG001,PAIRED,SRR15009788,6272514,4529646,0.005672,0.4421304045320651,0.4342105263157895,0.1028486959486175,0.1547213490483849,0.0951454289351851
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009790,OP-Strand-seq,Human,HG001,PAIRED,SRR15009790,14050146,7831100,0.005739,0.4407485165101276,0.4342105263157895,0.0920188602294401,0.346919418430833,0.1621468633782518
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009791,OP-Strand-seq,Human,HG001,PAIRED,SRR15009791,18278720,8840072,0.004597,0.438671788994713,0.4342105263157895,0.0878993910915367,0.4513630994870826,0.1814753206241954
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009793,OP-Strand-seq,Human,HG001,PAIRED,SRR15009793,12495212,7398896,0.006716,0.4435666492147782,0.4342105263157895,0.0979697973298808,0.3086738884168145,0.1537891585853567
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009794,OP-Strand-seq,Human,HG001,PAIRED,SRR15009794,13053392,7386568,0.036226,0.4416887501712095,0.4342105263157895,0.1046911032511574,0.3229298008698584,0.1538670427180386
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009795,OP-Strand-seq,Human,HG001,PAIRED,SRR15009795,13308876,7170804,0.01552,0.4370637271204822,0.4342105263157895,0.092858575290681,0.3289615684593018,0.1496011663676608
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009796,OP-Strand-seq,Human,HG001,PAIRED,SRR15009796,2428596,2058626,0.006112,0.4504634102387581,0.4473684210526316,0.1267381149790981,0.0600418103013442,0.04486746633451
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009799,OP-Strand-seq,Human,HG001,PAIRED,SRR15009799,7975966,5425146,0.01263,0.4481945561391361,0.4473684210526316,0.1078305794277462,0.1974296426128987,0.1140045782556632
