Name	Number	Depth	Cells
cov5-r3	20	5.000504862689252	20220418_S5CSTreat.sc046,20220430_S5Merged.sc136,20220610_Treat.sc001,20220610_Treat.sc021,20220610_Treat.sc053,20220708_GM12878.sc011,20220708_GM12878.sc024,20220708_GM12878R2.C67,20220817_HG001.C09,20220817_HG001.C23,20220817_HG001.C55,20220817_HG001.C62,20220915_P1.C10,20220915_P1.C75,20220915_P1.C78,20220916_P1.C30,20220916_P1.C39,20220916_P1.C44,20220916_P2.C43,20220916_P2.C76
cov5-r4	16	5.001804870348866	20220418_S5CSTreat.sc046,20220430_S5Merged.sc069,20220430_S5Merged.sc168,20220610_Treat.sc021,20220610_Treat.sc031,20220708_GM12878.sc008,20220708_GM12878.sc018,20220708_GM12878.sc027,20220708_GM12878.sc055,20220708_GM12878.sc062,20220708_GM12878R2.C11,20220708_GM12878R2.C52,20220708_GM12878R2.C68,20220817_HG001.C30,20220915_P1.C58,20220916_P1.C67
cov5-r5	20	5.0028204026808165	20220430_S5Merged.sc031,20220430_S5Merged.sc153,20220610_Treat.sc030,20220610_Treat.sc043,20220708_GM12878.sc006,20220708_GM12878.sc008,20220708_GM12878.sc043,20220708_GM12878.sc076,20220708_GM12878R2.C02,20220708_GM12878R2.C62,20220708_GM12878R2.C73,20220817_HG001.C35,20220817_HG001.C50,20220817_HG001.C52,20220915_P1.C38,20220915_P1.C42,20220915_P1.C57,20220915_P1.C59,20220916_P1.C78,20220916_P2.C66
cov6-r1	22	6.000672644165647	20220418_S5CSTreat.sc025,20220430_S5Merged.sc069,20220430_S5Merged.sc169,20220430_S5Merged.sc171,20220610_Treat.sc067,20220708_GM12878.sc002,20220708_GM12878.sc005,20220708_GM12878.sc014,20220708_GM12878.sc015,20220708_GM12878.sc021,20220708_GM12878.sc024,20220708_GM12878.sc054,20220708_GM12878.sc079,20220708_GM12878R2.C11,20220708_GM12878R2.C65,20220915_P1.C22,20220915_P1.C41,20220915_P1.C52,20220915_P1.C91,20220916_P1.C66,20220916_P2.C08,20220916_P2.C82
cov6-r2	24	5.995892606000506	20220418_S5CSTreat.sc034,20220430_S5Merged.sc001,20220430_S5Merged.sc003,20220430_S5Merged.sc093,20220430_S5Merged.sc136,20220430_S5Merged.sc153,20220610_Treat.sc010,20220610_Treat.sc018,20220610_Treat.sc040,20220708_GM12878.sc002,20220708_GM12878.sc022,20220708_GM12878R2.C01,20220708_GM12878R2.C08,20220817_HG001.C35,20220817_HG001.C52,20220817_HG001.C58,20220915_P1.C07,20220915_P1.C76,20220915_P1.C90,20220916_P1.C27,20220916_P1.C30,20220916_P1.C62,20220916_P1.C66,20220916_P2.C71
cov6-r3	21	6.004157451364298	20220418_S5CSTreat.sc054,20220418_S5CSTreat.sc055,20220430_S5Merged.sc103,20220430_S5Merged.sc125,20220610_Treat.sc001,20220610_Treat.sc012,20220610_Treat.sc015,20220610_Treat.sc029,20220610_Treat.sc075,20220708_GM12878.sc022,20220708_GM12878.sc042,20220708_GM12878R2.C80,20220817_HG001.C02,20220817_HG001.C17,20220817_HG001.C20,20220817_HG001.C40,20220817_HG001.C44,20220817_HG001.C56,20220915_P1.C01,20220915_P1.C08,20220915_P1.C41
cov6-r4	25	6.004645681018878	20220418_S5CSTreat.sc034,20220418_S5CSTreat.sc036,20220430_S5Merged.sc001,20220430_S5Merged.sc097,20220430_S5Merged.sc129,20220430_S5Merged.sc144,20220610_Treat.sc015,20220610_Treat.sc025,20220610_Treat.sc037,20220610_Treat.sc074,20220610_Treat.sc078,20220708_GM12878.sc051,20220708_GM12878.sc054,20220708_GM12878.sc057,20220708_GM12878.sc083,20220708_GM12878R2.C02,20220708_GM12878R2.C10,20220817_HG001.C18,20220817_HG001.C22,20220817_HG001.C61,20220915_P1.C33,20220915_P1.C52,20220915_P1.C63,20220916_P1.C27,20220916_P2.C36
cov6-r5	18	6.00555258975616	20220418_S5CSTreat.sc021,20220418_S5CSTreat.sc046,20220430_S5Merged.sc013,20220430_S5Merged.sc037,20220430_S5Merged.sc044,20220430_S5Merged.sc133,20220610_Treat.sc023,20220610_Treat.sc024,20220610_Treat.sc075,20220708_GM12878.sc027,20220708_GM12878.sc068,20220708_GM12878R2.C09,20220708_GM12878R2.C51,20220915_P1.C16,20220915_P1.C89,20220916_P1.C18,20220916_P2.C66,20220916_P2.C77
cov7-r1	25	7.00090467534716	20220418_S5CSTreat.sc026,20220418_S5CSTreat.sc043,20220418_S5CSTreat.sc049,20220430_S5Merged.sc085,20220430_S5Merged.sc131,20220610_Treat.sc013,20220610_Treat.sc022,20220610_Treat.sc040,20220610_Treat.sc084,20220708_GM12878.sc018,20220708_GM12878.sc032,20220708_GM12878.sc061,20220708_GM12878.sc068,20220708_GM12878.sc083,20220708_GM12878R2.C09,20220708_GM12878R2.C55,20220708_GM12878R2.C84,20220817_HG001.C59,20220915_P1.C01,20220915_P1.C04,20220915_P1.C28,20220915_P1.C47,20220916_P1.C17,20220916_P1.C33,20220916_P1.C84
cov7-r2	26	7.001470098700004	20220418_S5CSTreat.sc021,20220610_Treat.sc016,20220610_Treat.sc052,20220610_Treat.sc061,20220610_Treat.sc075,20220708_GM12878.sc008,20220708_GM12878.sc012,20220708_GM12878.sc033,20220708_GM12878.sc044,20220708_GM12878.sc053,20220708_GM12878R2.C10,20220708_GM12878R2.C70,20220708_GM12878R2.C84,20220817_HG001.C19,20220817_HG001.C23,20220817_HG001.C39,20220817_HG001.C49,20220817_HG001.C56,20220817_HG001.C60,20220915_P1.C01,20220915_P1.C04,20220915_P1.C70,20220915_P1.C91,20220916_P1.C19,20220916_P2.C74,20220916_P2.C79
